Day,Species,Temperature C,Density
0,Paramecium,17,8.33
1,Paramecium,17,
2,Paramecium,17,64
3,Paramecium,17,
4,Paramecium,17,106
5,Paramecium,17,
6,Paramecium,17,114
7,Paramecium,17,106.53
8,Paramecium,17,52.95
9,Paramecium,17,50
10,Paramecium,17,2.95
11,Paramecium,17,0
12,Paramecium,17,0
13,Paramecium,17,0
14,Paramecium,17,0
15,Paramecium,17,0
16,Paramecium,17,0
17,Paramecium,17,
18,Paramecium,17,0
0,Didinium,17,0.33
1,Didinium,17,
2,Didinium,17,0.37
3,Didinium,17,
4,Didinium,17,0.7
5,Didinium,17,
6,Didinium,17,2.62
7,Didinium,17,4.02
8,Didinium,17,7.45
9,Didinium,17,12.61
10,Didinium,17,15.5
11,Didinium,17,17.62
12,Didinium,17,17.42
13,Didinium,17,17.23
14,Didinium,17,16.53
15,Didinium,17,15.6
16,Didinium,17,13.27
17,Didinium,17,
18,Didinium,17,2.47
0,Paramecium,20,8.33
1,Paramecium,20,
2,Paramecium,20,70
3,Paramecium,20,
4,Paramecium,20,105
5,Paramecium,20,
6,Paramecium,20,95.67
7,Paramecium,20,80
8,Paramecium,20,55
9,Paramecium,20,8.17
10,Paramecium,20,0
11,Paramecium,20,0
12,Paramecium,20,0
13,Paramecium,20,0
14,Paramecium,20,0
15,Paramecium,20,0
16,Paramecium,20,0
17,Paramecium,20,0
18,Paramecium,20,0
0,Didinium,20,0.33
1,Didinium,20,
2,Didinium,20,0.42
3,Didinium,20,
4,Didinium,20,1.61
5,Didinium,20,
6,Didinium,20,9.51
7,Didinium,20,10.33
8,Didinium,20,14.39
9,Didinium,20,17.18
10,Didinium,20,21.78
11,Didinium,20,18.06
12,Didinium,20,12.2
13,Didinium,20,12.97
14,Didinium,20,10.24
15,Didinium,20,7.21
16,Didinium,20,2.47
17,Didinium,20,0
18,Didinium,20,0
0,Paramecium,23,8.33
1,Paramecium,23,50.38
2,Paramecium,23,80
3,Paramecium,23,
4,Paramecium,23,33.9
5,Paramecium,23,7.63
6,Paramecium,23,0
7,Paramecium,23,0
8,Paramecium,23,0
9,Paramecium,23,0
10,Paramecium,23,0
11,Paramecium,23,0
12,Paramecium,23,0
13,Paramecium,23,0
14,Paramecium,23,0
15,Paramecium,23,0
16,Paramecium,23,0
17,Paramecium,23,0
18,Paramecium,23,0
0,Didinium,23,0.33
1,Didinium,23,0.29
2,Didinium,23,0.5
3,Didinium,23,
4,Didinium,23,7.42
5,Didinium,23,14.33
6,Didinium,23,16.42
7,Didinium,23,11.4
8,Didinium,23,6.08
9,Didinium,23,2.71
10,Didinium,23,0.96
11,Didinium,23,0
12,Didinium,23,0
13,Didinium,23,0
14,Didinium,23,0
15,Didinium,23,0
16,Didinium,23,0
17,Didinium,23,0
18,Didinium,23,0
0,Paramecium,25,8.33
1,Paramecium,25,71.7
2,Paramecium,25,92
3,Paramecium,25,43.13
4,Paramecium,25,12
5,Paramecium,25,3.97
6,Paramecium,25,0
7,Paramecium,25,0
8,Paramecium,25,0
9,Paramecium,25,0
10,Paramecium,25,0
11,Paramecium,25,0
12,Paramecium,25,0
13,Paramecium,25,0
14,Paramecium,25,0
15,Paramecium,25,0
16,Paramecium,25,0
17,Paramecium,25,0
18,Paramecium,25,0
0,Didinium,25,0.33
1,Didinium,25,0.47
2,Didinium,25,1.27
3,Didinium,25,6.17
4,Didinium,25,12.32
5,Didinium,25,13.88
6,Didinium,25,13.37
7,Didinium,25,6.37
8,Didinium,25,2.47
9,Didinium,25,0
10,Didinium,25,0
11,Didinium,25,0
12,Didinium,25,0
13,Didinium,25,0
14,Didinium,25,0
15,Didinium,25,0
16,Didinium,25,0
17,Didinium,25,0
18,Didinium,25,0
0,Paramecium,27,8.33
1,Paramecium,27,64.69
2,Paramecium,27,68.86
3,Paramecium,27,26.61
4,Paramecium,27,5.31
5,Paramecium,27,0.36
6,Paramecium,27,0
7,Paramecium,27,0
8,Paramecium,27,0
9,Paramecium,27,0
10,Paramecium,27,0
11,Paramecium,27,0
12,Paramecium,27,0
13,Paramecium,27,0
14,Paramecium,27,0
15,Paramecium,27,0
16,Paramecium,27,0
17,Paramecium,27,0
18,Paramecium,27,0
0,Didinium,27,0.33
1,Didinium,27,0.47
2,Didinium,27,2
3,Didinium,27,9.9
4,Didinium,27,15.19
5,Didinium,27,10.94
6,Didinium,27,4.38
7,Didinium,27,1
8,Didinium,27,0.08
9,Didinium,27,0
10,Didinium,27,0
11,Didinium,27,0
12,Didinium,27,0
13,Didinium,27,0
14,Didinium,27,0
15,Didinium,27,0
16,Didinium,27,0
17,Didinium,27,0
18,Didinium,27,0
0,Paramecium,31,8.33
1,Paramecium,31,54.22
2,Paramecium,31,12.94
3,Paramecium,31,0
4,Paramecium,31,0
5,Paramecium,31,0
6,Paramecium,31,0
7,Paramecium,31,0
8,Paramecium,31,0
9,Paramecium,31,0
10,Paramecium,31,0
11,Paramecium,31,0
12,Paramecium,31,0
13,Paramecium,31,0
14,Paramecium,31,0
15,Paramecium,31,0
16,Paramecium,31,0
17,Paramecium,31,0
18,Paramecium,31,0
0,Didinium,31,0.33
1,Didinium,31,1.06
2,Didinium,31,7.69
3,Didinium,31,11.33
4,Didinium,31,6.25
5,Didinium,31,0.11
6,Didinium,31,0
7,Didinium,31,0
8,Didinium,31,0
9,Didinium,31,0
10,Didinium,31,0
11,Didinium,31,0
12,Didinium,31,0
13,Didinium,31,0
14,Didinium,31,0
15,Didinium,31,0
16,Didinium,31,0
17,Didinium,31,0
18,Didinium,31,0
